Time,Ca[*],Cb[*],Cc[*],Cm[*],T[*],Fa0[*],mc[*],dCadt[*],dCbdt[*],dCcdt[*],dCmdt[*],dTdt[*]
0,0.15612173378479913,33.55804914071708,2.74943773137456,3.633950405628219,339.7951413008544,,,,,,,
0.000143,0.15791531354086122,33.55392061705043,2.7491055061906304,3.6335039373790656,339.7934490304914,99.99999697289213,294.6915437901928,12.521582010554793,-28.951261109829915,-2.2876288712608517,-3.1266437503119917,-10.88423265810531
0.000692,0.16470600736682828,33.53794933734477,2.747931619724724,3.6317879088424947,339.78950147912354,99.99999697289213,294.6915437901928,12.20223981479091,-29.19413516169105,-1.9871561655649632,-3.120878805682154,-3.513244765049475
0.001459,0.1738957105399017,33.51543432010879,2.7465654607928274,3.629397685301882,339.79067555650306,99.99999697289213,294.6915437901928,11.766461974420142,-29.523401977467827,-1.5776612793515892,-3.1128489238527397,6.528940716733477
0.002151,0.1819004848776933,33.49491517327839,2.745599327904049,3.627247262684488,339.79825602928526,99.99999697289213,294.6915437901928,11.382691951170782,-29.811346772490477,-1.2175373536805016,-3.105624645785195,15.357282890464385
0.0025,0.1858442076721579,33.48447415694951,2.7452052230050237,3.6261627950836344,339.80438905755227,99.99999697289213,294.6915437901928,11.191923573222802,-29.953790065631622,-1.0386938069274503,-3.101981410525094,19.7405112041485
0.002643,0.1874364436952961,33.48019382476714,2.7450621181072172,3.6257200613018012,339.8073335714453,99.99993560549548,294.73614994818297,11.114539322471446,-30.011405722887883,-0.9661877088233142,-3.100491053350291,21.513265422180552
0.003192,0.1934610095082341,33.463646808735994,2.7446073780764744,3.624018386422592,339.82101485092574,99.99993560549548,294.73614994818297,10.819787364681185,-30.230329170461303,-0.690147403328789,-3.0947743307982276,28.276840878801163
0.003959,0.20160292462129667,33.440349196386585,2.744223567461756,3.6216481558172764,339.84626226314214,99.99993560549548,294.73614994818297,10.415799746701,-30.52869669739657,-0.31222289028646766,-3.0868116165802815,37.534101291223685
0.004651000000000001,0.20868277704287744,33.419143714893345,2.744123482040591,3.619515720328048,339.8750588911148,99.99993560549548,294.73614994818297,10.05836424456037,-30.79110852124284,0.021764306947656232,-3.079647767480174,45.712570095380435
0.005,0.2121659823204568,33.40836250164451,2.7441602040161377,3.6184403237147165,339.89174372320696,99.99993560549548,294.73614994818297,9.880116463321812,-30.92143544281638,0.18818700470203664,-3.0760350068130475,49.78694982320716
0.005142999999999999,0.21357130161520838,33.4039443682453,2.7441918959676426,3.61800129275853,339.8989687312855,99.99993250524452,294.79381173066844,9.807715282048852,-30.974270909692212,0.25576009633345764,-3.074559944723311,51.43587753131313
0.005691999999999999,0.21888306989396636,33.38687333320887,2.7444033699606902,3.616313849920413,339.928962102415,99.99993250524452,294.79381173066844,9.53134446039951,-31.175447417516967,0.5135757617377592,-3.0688910343306475,57.74627711209815
0.0064589999999999995,0.22604617137397068,33.362859853251415,2.7449334876927654,3.613963442854645,339.9765806948047,99.99993250524452,294.79381173066844,9.15113589060715,-31.45091925636576,0.8679392069669281,-3.0609949167608272,66.41765376664009
0.007150999999999999,0.232258257593225,33.341023171328054,2.7456427928515907,3.611848842093821,340.02518384611284,99.99993250524452,294.79381173066844,8.813407605787546,-31.69441859924236,1.1824152982137612,-3.053890982951286,74.11094699527244
0.0075,0.23530812363999673,33.32992792000941,2.746083414974458,3.610782439612586,340.0517505065665,99.99993250524452,294.79381173066844,8.644531006772075,-31.815775127635646,1.3395657135545262,-3.0503084378291176,77.95475956825665
0.007643,0.23653731839989894,33.325382360607755,2.7462792144766612,3.610347080045929,340.06298986268683,99.999996529873,294.87790418700257,8.575864359637928,-31.86508310567097,1.4034553621159138,-3.048848984914911,79.50970163185048
0.008192,0.24117619226361744,33.30782560700681,2.7471173948556906,3.6086737484227487,340.10831159874544,99.999996529873,294.87790418700257,8.31325211918767,-32.053129824392826,1.6476676087928204,-3.0432274792509806,85.4818480507331
0.008959,0.2474121022454436,33.28314564925441,2.748510369653555,3.6063429966014606,340.17702960065367,99.999996529873,294.87790418700257,7.950840408557624,-32.31168063670135,1.9844503177328112,-3.035397390831514,93.71610257953388
0.009651,0.25279920254904914,33.26071853884357,2.7499867806902087,3.604246079159687,340.2443862202208,99.999996529873,294.87790418700257,7.627857773266022,-32.54122229418372,2.2843751996542867,-3.0283528617540543,101.04763728138046
0.01,0.2554360708855752,33.24932857816554,2.750811211363654,3.6031885944546436,340.2803343260878,99.999996529873,294.87790418700257,7.465991489815277,-32.65596588081814,2.4346133564865124,-3.024800274701628,104.71962106587048
0.010143000000000001,0.25649721226480793,33.2446632689935,2.751163144714441,3.60275687650428,340.29538958838936,99.9999266450433,294.9756250713611,7.40008227783343,-32.702592129220434,2.4957642511983194,-3.0233465292376676,106.20512468662051
0.010692,0.2604930304718292,33.22664911766482,2.752598567287622,3.6010975416597026,340.3553064207408,99.9999266450433,294.9756250713611,7.1477609841927,-32.88097163397004,2.729839465100716,-3.0177720468841875,111.9253144037849
0.011459,0.2658403410731193,33.201339159914205,2.7548163287692917,3.5987862856839303,340.4441764219538,99.9999266450433,294.9756250713611,6.798658728574386,-33.127081776819686,3.0535271029478865,-3.010007456335493,119.83415488347124
0.012151,0.27043442929275285,33.17835169261074,2.7570283412533,3.596706908151295,340.5295025609998,99.9999266450433,294.9756250713611,6.486704530440012,-33.34637662108854,3.3426164233919846,-3.0030218540022546,126.89649867256792
