Time,Ca[*],Cb[*],Cc[*],Cm[*],T[*],Fa0[*],mc[*],dCadt[*],dCbdt[*],dCcdt[*],dCmdt[*],dTdt[*]
0,0.15612173378479913,33.55804914071708,2.74943773137456,3.633950405628219,339.7951413008544,,,,,,,
0.000143,0.157915359503773,33.55392066332591,2.7491054601505915,3.6335039374026294,339.7922587405411,99.99999361072187,408.24883664576896,12.522228433800736,-28.95061249786134,-2.2882758346020267,-3.1266435853038708,-19.227470954320193
0.000692,0.1647071128387834,33.53795044433028,2.7479305138792873,3.6317879089565994,339.7837155462783,99.99999361072187,408.24883664576896,12.205477099508524,-29.190895693319693,-1.9903939891270153,-3.120878641056167,-11.902068757462464
0.001459,0.17390076536236757,33.515439378116675,2.746560405184325,3.629397685542029,339.77842975729175,99.99999361072187,408.24883664576896,11.773573405490819,-29.516288369800474,-1.5847732475252805,-3.112848759758786,-1.931055119313433
0.002151,0.18191173791721751,33.49492643100653,2.7455880737075566,3.6272472630379604,339.780134793277,99.99999361072187,408.24883664576896,11.393541749412057,-29.80049480399844,-1.2283876874588522,-3.1056244821696595,6.8259150233983314
0.0025,0.18585959467967778,33.48448954940337,2.745189834653557,3.626162795494232,339.78328027852666,99.99999361072187,408.24883664576896,11.204746287114705,-29.940965184688068,-1.051517055567008,-3.101981247150743,11.17059877369489
0.002643,0.18745371939380262,33.48021110068065,2.7450448423556653,3.625720061318006,339.7850464971703,99.99999197164414,402.90010022244536,11.12816585057335,-29.997815827988155,-0.9798051972152548,-3.100493815132786,13.25177021785344
0.003192,0.19348662433619307,33.4636724036779,2.744581768155663,3.624018384923374,339.79417232910765,99.99999197164414,402.90010022244536,10.83654208802424,-30.213610995598664,-0.7068931078680549,-3.094777086193532,19.95275700282363
0.003959,0.20164312684569954,33.4403893507423,2.7441833770495716,3.621648152208443,339.81300085175485,99.99999197164414,402.90010022244536,10.437128576924884,-30.507404297698656,-0.3335427308133223,-3.0868143630829836,29.116488934594916
0.004651000000000001,0.20873921556301286,33.41920008038526,2.7440670615411107,3.619515714822433,339.8359447515539,99.99999197164414,402.90010022244536,10.084017415081599,-30.765491675179863,-0.003879900050113551,-3.0796505059864105,37.20467386542806
0.005,0.21223177648341496,33.40842821009685,2.744094431003381,3.6184403172529733,339.8496486371998,99.99999197164414,402.90010022244536,9.908023606310561,-30.89356457081448,0.16028881204198914,-3.0760377412880646,41.23136986170919
0.005142999999999999,0.21364114406594878,33.40401411880701,2.744122076191704,3.6180012858309967,339.85570090200576,99.99999969499633,397.2526063185545,9.836521610415097,-30.94550784642839,0.22696444418315306,-3.074563206485731,43.21154315641625
0.005691999999999999,0.21896969862220078,33.386959846308024,2.744316769765418,3.6163138412031146,339.8811556558412,99.99999969499633,397.2526063185545,9.563669157156758,-31.143165885785265,0.48126171650120664,-3.0688942885482593,49.4464074773996
0.0064589999999999995,0.22615952555264185,33.36297305875256,2.744820170202183,3.6139634316458196,339.92236730257036,99.99999969499633,397.2526063185545,9.188544351876782,-31.41355382078904,0.830541362835893,-3.0609981604741354,58.0071600516783
0.007150999999999999,0.23239911858679888,33.34116385392984,2.7455019758784807,3.611848828644832,339.96511758309174,99.99999969499633,397.2526063185545,8.855567685657302,-31.652301419773966,1.1402658045653,-3.053894217218842,65.59565736764861
0.0075,0.23546414379089586,33.33008374679017,2.7459274425401214,3.6107824250343765,339.9886994808567,99.99999969499633,397.2526063185545,8.689149971435532,-31.771199000210878,1.2949573195261745,-3.0503116673348303,69.38476182370948
0.007643,0.2366997758511092,33.32554462448817,2.746116804791527,3.610347065452592,339.99876736679596,99.9999997058745,391.38225083708375,8.621442226616555,-31.819506643735647,1.3578778418496131,-3.0488490908413124,71.29298113604972
0.008192,0.24136472593642241,33.30801394633792,2.7469289091391866,3.608673733771294,340.03955196663367,99.9999997058745,391.38225083708375,8.36262428415534,-32.00375906092606,1.5982957896633538,-3.0432275849103165,77.17983432856563
0.008959,0.2476405738459744,33.28337392544037,2.74828194627407,3.6063429818691213,340.1018563914754,99.9999997058745,391.38225083708375,8.00565453573678,-32.256867906091905,1.9296365351750313,-3.0353974961190895,85.29060236059827
0.009651,0.2530673233226676,33.26098646323824,2.7497187083756063,3.6042460643546446,340.1633459618758,99.9999997058745,391.38225083708375,7.6877207857625525,-32.48136067382336,2.224512530685102,-3.0283529667073887,92.50646602338252
0.01,0.255725561052922,33.24961787146791,2.750521769775255,3.6031885796129597,340.196299341506,99.9999997058745,391.38225083708375,7.528454567837281,-32.59350419269751,2.3721506214403942,-3.024800379486484,96.11850044994918
0.010143000000000001,0.2567956942716492,33.24496154799106,2.7508647128027315,3.602756861199377,340.2101812578799,99.99999432733091,385.38544825764046,7.463578353331996,-32.63913907999416,2.4322787929813487,-3.023349772994661,97.97432124219225
0.010692,0.2608274817905795,33.22698334236526,2.7522641718898333,3.601097524574913,340.2655512687676,99.99999432733091,385.38544825764046,7.215230199363477,-32.813545345626835,2.6623808426722957,-3.017775283144035,103.60218933095528
0.011459,0.2662286967824883,33.201727256139144,2.7544280370910186,3.59878626612136,340.3479879464185,99.99999432733091,385.38544825764046,6.871795890060562,-33.0539874037085,2.980400500039113,-3.0100106821573815,111.37839490951819
0.012151,0.270875170468685,33.17879214475184,2.7565876714004025,3.596706886360915,340.4274234456891,99.99999432733091,385.38544825764046,6.565070891022324,-33.26805292438075,3.2642605906649993,-3.0030250704380346,118.31747252502608
