Time,Ca[*],Cb[*],Fa0[*],dCadt[*],dCbdt[*]
0,0,0,,,
1,0.3653515721740471,0.19343682382139707,12.66486173354757,0.3653515721740471,0.19343682382139707
2,0.4586982231174975,0.33977330919012355,11.893264463164515,0.0933466509434504,0.14633648536872645
3,0.4903215358245295,0.41875534693998967,12.164711661880462,0.03162331270703193,0.07898203774986615
4,0.5026625279726946,0.45670439615079533,12.376626744135695,0.012340992148165097,0.037949049210805656
5,0.5078230741830658,0.47410680048205167,12.48632763939511,0.00516054621037119,0.017402404331256324
6,0.5100510376341348,0.4819312725319715,12.537820381244439,0.0022279634510690084,0.007824472049919809
7,0.511026742557496,0.48541950178015286,12.561173574294667,0.0009757049233612143,0.0034882292481813416
8,0.5114567340111615,0.4869688306917421,12.571620878325467,0.00042999145366550394,0.0015493289115892995
9,0.5116467538992883,0.48765586099477337,12.576267885411262,0.00019001988812673566,0.0006870303030312043
10,0.5117308282694506,0.48796029808422553,12.578329819938485,8.407437016238799e-05,0.00030443708945217506
11,0.5117680467680933,0.48809515784152735,12.5792437499197,3.721849864274656e-05,0.00013485975730181024
12,0.5117845267039693,0.48815488980666966,12.579648650509753,1.6479935876014244e-05,5.973196514229142e-05
13,0.511791824586381,0.4881813446116454,12.579827997876995,7.297882411598865e-06,2.645480497572767e-05
14,0.5117950564863214,0.48819306091316067,12.579907431156899,3.2318999404627575e-06,1.1716301515284802e-05
15,0.5117964877763578,0.48819824976539655,12.579942610907006,1.431290036397588e-06,5.188852235881391e-06
16,0.5117971216478661,0.4882005477640073,12.57995819119208,6.338715083280754e-07,2.2979986107483033e-06
17,0.5117974023699071,0.48820156548140825,12.57996509128105,2.8072204111332717e-07,1.0177174009672524e-06
18,0.5117975266932117,0.4882020161986658,12.579968147134307,1.243233045329959e-07,4.5071725756174664e-07
19,0.5117975266932117,0.4882020161986658,12.579969500482802,1.243233045329959e-07,4.5071725756174664e-07
20,0.5117975266932117,0.4882020161986658,12.579969500482802,1.243233045329959e-07,4.5071725756174664e-07
21,0.5117975266932117,0.4882020161986658,12.579969500482804,1.243233045329959e-07,4.5071725756174664e-07
22,0.5117975266932117,0.4882020161986658,12.579969500482804,1.243233045329959e-07,4.5071725756174664e-07
