Time,Ca[*],Cb[*],Fa0[*],dCadt[*],dCbdt[*]
0,0,0,,,
1,0.4294748787055015,0.1940327952657161,16.560966342871787,0.4294748787055015,0.1940327952657161
2,0.4894979485480028,0.34451505464517007,12.682037344584144,0.06002306984250133,0.15048225937945395
3,0.4984230021745747,0.4264781934523856,12.102481949288675,0.008925053626571887,0.08196313880721552
4,0.49976290789866085,0.4661251663841042,12.015410386255724,0.0013399057240861736,0.039646972931718615
5,0.4999643592233474,0.4845318536047591,12.002318103976352,0.0002014513246866099,0.018406687220654937
6,0.49999465403667037,0.4929582818598731,12.00034928629209,3.0294813322942054e-05,0.008426428255114055
7,0.4999992102414543,0.49679758655062844,12.000053215601428,4.556204783885208e-06,0.003839304690755288
8,0.499999895585213,0.4985441035320916,12.000008694963583,6.853437587404556e-07,0.0017465169814631586
9,0.49999999872347495,0.4993381827536919,12.00000200149203,1.0313826194915622e-07,0.000794079221600297
10,0.5000000142670916,0.4996991591452356,12.00000099569276,1.55436167406656e-08,0.00036097639154367785
11,0.5000000166197034,0.4998632440275142,12.000000844798029,2.352611753328789e-09,0.0001640848822785926
12,0.5000000169803592,0.4999378287706992,12.000000822270383,3.6065582413446487e-10,7.458474318497987e-05
13,0.500000017037714,0.4999717310320007,12.000000818957389,5.735472609666729e-11,3.390226130148043e-05
14,0.5000000170477563,0.49998714116622806,12.000000818493177,1.0042310431568625e-11,1.541013422738108e-05
15,0.5000000170499106,0.49999414577484486,12.000000818438824,2.1543325271168033e-12,7.004608616806964e-06
16,0.5000000170505273,0.4999973296880965,12.000000818437675,6.166736231652511e-13,3.1839132516837055e-06
17,0.5000000170507533,0.4999987769213933,12.000000818440702,2.2587511305864837e-13,1.4472332967946873e-06
18,0.5000000170508477,0.4999994347546939,12.000000818442606,9.441164322168871e-14,6.578333005712552e-07
19,0.5000000170508477,0.4999994347546939,12.000000818443555,9.441164322168871e-14,6.578333005712552e-07
20,0.5000000170508477,0.4999994347546939,12.000000818443555,9.441164322168871e-14,6.578333005712552e-07
21,0.5000000170508477,0.4999994347546939,12.000000818443555,9.441164322168871e-14,6.578333005712552e-07
22,0.5000000170508477,0.4999994347546939,12.000000818443551,9.441164322168871e-14,6.578333005712552e-07
