12.618	2.7175	2.5862	2.4515	2.307	2.1501	1.9812	1.8034	1.6214	1.4404	1.2652	1.0994	0.945	0.80277	0.67212	0.55166	0.43953	0.33363	0.2318	0.13177	0.030971	-0.074682	-0.15949	-0.22824	-0.28423	-0.3297	-0.36632	-0.39544	-0.41822	-0.43567	-0.44866	-0.45789	-0.46389	-0.46702	-0.46742	-0.46497	-0.45918	-0.44888	-0.4318	-0.40364	-0.30574	0.16086	0.16349	0.14285	0.11401	0.078378	0.038534	-0.0019478	-0.038913	-0.068266	-0.086627	-0.091839	-0.083179	-0.061257	-0.027658	0.015548	0.066312	0.12301	0.18466	0.25103	0.32246	0.39969	0.48903	0.5595	0.61871	0.66829	0.70906	0.74141	0.76551	0.78141	0.78916	0.78882	0.78051	0.76435	0.74052	0.7092	0.67065	0.62526	0.57377	0.5177	0.46012	0.34924	1.7498	1.8508	1.9902	2.098	2.1878	2.2677	2.3425	2.4151	2.487	2.5595	2.633	2.7077	2.7835	2.8601	2.9363	3.0106	3.0808	3.1438	3.1955	3.2314	3.2463	3.2489	3.2081	3.1415	3.0534	2.948	2.8291	2.6996	2.5618	2.4176	2.2683	2.1154	1.9601	1.8041	1.6494	1.4984	1.3542	1.2199	1.0994	0.99656	0.90993	-0.28672	-0.30727	-0.33377	-0.35218	-0.3634	-0.36802	-0.3664	-0.35871	-0.34496	-0.3251	-0.29901	-0.26666	-0.22813	-0.18376	-0.13427	-0.080842	-0.025234	0.030246	0.0828	0.12935	0.16681	0.19331	0.19795	0.18614	0.16255	0.1313	0.095591	0.057651	0.018797	-0.020328	-0.059502	-0.098648	-0.13759	-0.17585	-0.21252	-0.24618	-0.2749	-0.29621	-0.30716	-0.3043	-0.28192	-0.4251	-0.36407	-0.2977	-0.22775	-0.15495	-0.079155	3.9146e-05	0.082673	0.168	0.25438	0.33943	0.42036	0.49441	0.55927	0.61336	0.65596	0.68723	0.70798	0.71946	0.72312	0.72035	0.7289	0.71678	0.68733	0.6443	0.59125	0.53141	0.46778	0.40317	0.34017	0.28103	0.22758	0.1811	0.14232	0.11143	0.088126	0.071736	0.061331	0.055831	0.054101	0.13687	-0.058964	-0.060282	-0.062125	-0.064588	-0.067777	-0.071801	-0.076762	-0.082745	-0.089805	-0.09795	-0.10712	-0.11718	-0.12789	-0.13892	-0.14983	-0.16009	-0.16908	-0.17614	-0.18062	-0.18186	-0.17918	-0.19138	-0.19945	-0.20247	-0.20054	-0.19478	-0.18697	-0.17907	-0.17269	-0.16869	-0.16714	-0.1674	-0.16846	-0.16918	-0.16847	-0.16536	-0.15897	-0.14838	-0.13253	-0.1101	0.00078272
2.7175	12.914	2.8422	2.7465	2.6255	2.4795	2.3112	2.1255	1.9289	1.7286	1.5309	1.341	1.1621	0.99561	0.84148	0.69845	0.56462	0.4377	0.31523	0.19455	0.072615	-0.055095	-0.15823	-0.24212	-0.31071	-0.36669	-0.41207	-0.44846	-0.47725	-0.49964	-0.51665	-0.52912	-0.53769	-0.54277	-0.54453	-0.54285	-0.5371	-0.52594	-0.50664	-0.47412	-0.35935	0.16715	0.17355	0.15393	0.12373	0.084406	0.038783	-0.0089931	-0.053964	-0.091091	-0.11606	-0.12593	-0.11942	-0.096903	-0.059974	-0.010924	0.04787	0.11444	0.18756	0.26681	0.35253	0.44549	0.5528	0.63793	0.70962	0.76982	0.81954	0.85925	0.88914	0.90928	0.91973	0.92055	0.91185	0.89381	0.86661	0.83047	0.78569	0.73272	0.67246	0.60673	0.53917	0.4092	1.4781	1.5618	1.6768	1.7642	1.8356	1.898	1.9555	2.0105	2.0644	2.1181	2.1722	2.2268	2.282	2.3374	2.3926	2.4463	2.4971	2.5425	2.5797	2.6053	2.6156	2.6179	2.5866	2.5351	2.4669	2.3853	2.2932	2.1928	2.0858	1.9735	1.8567	1.7364	1.6136	1.4896	1.366	1.2448	1.1284	1.0193	0.92039	0.83457	0.76013	-0.33255	-0.35703	-0.38898	-0.41212	-0.42746	-0.4357	-0.43723	-0.43224	-0.42076	-0.40266	-0.37778	-0.34594	-0.30709	-0.26137	-0.2093	-0.15183	-0.090494	-0.027383	0.034923	0.093565	0.14574	0.18988	0.21054	0.2134	0.20336	0.18466	0.16051	0.13312	0.10382	0.073277	0.041815	0.0096104	-0.023076	-0.05576	-0.087637	-0.11754	-0.14395	-0.16497	-0.17839	-0.18169	-0.17099	-0.54758	-0.48404	-0.41278	-0.33577	-0.25397	-0.16734	-0.075498	0.02156	0.12294	0.2267	0.32995	0.4293	0.5213	0.60299	0.67225	0.728	0.7702	0.79966	0.81775	0.82612	0.82641	0.84162	0.832	0.80137	0.75407	0.69427	0.62582	0.55228	0.47703	0.4032	0.33355	0.27034	0.21521	0.16912	0.13237	0.10467	0.085265	0.073071	0.0668	0.065083	0.16138	-0.064614	-0.066143	-0.068281	-0.071148	-0.074874	-0.079598	-0.085458	-0.09258	-0.10107	-0.11097	-0.12229	-0.13493	-0.14871	-0.16333	-0.17836	-0.19326	-0.20736	-0.21993	-0.23021	-0.23745	-0.24094	-0.25773	-0.26969	-0.27535	-0.27433	-0.26736	-0.25602	-0.24233	-0.22821	-0.21506	-0.20357	-0.19378	-0.18519	-0.17711	-0.16875	-0.15941	-0.14842	-0.13505	-0.11846	-0.097532	0.003518
2.5862	2.8422	12.825	2.7719	2.6852	2.5662	2.4183	2.2468	2.0587	1.8616	1.663	1.4686	1.2827	1.1077	0.94409	0.79116	0.64732	0.51045	0.3781	0.24748	0.11535	-0.022848	-0.135	-0.22644	-0.30141	-0.36281	-0.41281	-0.45314	-0.48529	-0.51055	-0.53001	-0.54457	-0.55491	-0.56148	-0.56446	-0.56372	-0.55863	-0.54775	-0.52824	-0.49475	-0.37518	0.1832	0.19887	0.1856	0.16009	0.12358	0.078765	0.029776	-0.018247	-0.059882	-0.090253	-0.10575	-0.10445	-0.086142	-0.052049	-0.0042717	0.054812	0.1231	0.19914	0.28231	0.37274	0.47102	0.58448	0.67444	0.75014	0.81368	0.86616	0.90808	0.93965	0.96095	0.97202	0.97292	0.96379	0.94477	0.91607	0.87792	0.83062	0.77467	0.71101	0.64152	0.57007	0.43255	1.1583	1.2225	1.3101	1.3754	1.4276	1.4721	1.5123	1.55	1.5864	1.6222	1.6579	1.6937	1.7296	1.7657	1.8017	1.837	1.8707	1.9014	1.9273	1.9461	1.9555	1.9613	1.9426	1.9091	1.8631	1.807	1.743	1.6725	1.5968	1.5165	1.4322	1.3447	1.2545	1.1627	1.0705	0.97943	0.89116	0.80762	0.73084	0.66288	0.60196	-0.34599	-0.37192	-0.40607	-0.43146	-0.44916	-0.45988	-0.46403	-0.46183	-0.45329	-0.43828	-0.4166	-0.388	-0.35233	-0.30956	-0.25996	-0.2042	-0.14345	-0.079393	-0.014141	0.049926	0.11049	0.16633	0.19928	0.21464	0.21704	0.21041	0.19772	0.18103	0.16158	0.14009	0.11692	0.092352	0.066685	0.04038	0.014109	-0.011219	-0.034456	-0.054231	-0.068982	-0.076993	-0.07599	-0.61578	-0.55173	-0.47857	-0.39871	-0.31343	-0.22288	-0.12666	-0.024669	0.082339	0.19248	0.30283	0.40983	0.50978	0.59936	0.67615	0.7388	0.78708	0.82172	0.84409	0.85588	0.85885	0.88053	0.87515	0.8468	0.80012	0.73953	0.66911	0.59264	0.51373	0.43572	0.36162	0.29396	0.23459	0.18468	0.14469	0.11442	0.093132	0.079723	0.072829	0.070977	0.17279	-0.062644	-0.064233	-0.066459	-0.069449	-0.073345	-0.078302	-0.084478	-0.092024	-0.10107	-0.11172	-0.12401	-0.13791	-0.1533	-0.16994	-0.18747	-0.20538	-0.22304	-0.23969	-0.25455	-0.26681	-0.2757	-0.29591	-0.31112	-0.31948	-0.32019	-0.31356	-0.3009	-0.28413	-0.26527	-0.24606	-0.22767	-0.21062	-0.19489	-0.18017	-0.166	-0.15193	-0.13752	-0.12226	-0.10553	-0.086487	0.0030132
2.4515	2.7465	2.7719	12.757	2.7033	2.6138	2.491	2.3397	2.1666	1.9791	1.785	1.5908	1.4015	1.2205	1.0492	0.88757	0.7346	0.58848	0.44687	0.30698	0.16534	0.017505	-0.10305	-0.20151	-0.28242	-0.34889	-0.40322	-0.44726	-0.4826	-0.5106	-0.53242	-0.54902	-0.56111	-0.56917	-0.57341	-0.5737	-0.5694	-0.55905	-0.53971	-0.50591	-0.38382	0.21128	0.23953	0.23514	0.21723	0.18673	0.146	0.098866	0.050325	0.0059053	-0.029138	-0.050574	-0.055714	-0.043589	-0.014769	0.02908	0.085779	0.1532	0.22973	0.31447	0.40727	0.50844	0.62542	0.71778	0.79534	0.86028	0.91377	0.95636	0.98827	1.0096	1.0203	1.0205	1.0104	0.98998	0.95956	0.91936	0.86969	0.81105	0.74442	0.67173	0.59694	0.45277	0.91319	0.9625	1.0295	1.0781	1.1159	1.1472	1.1746	1.1997	1.2235	1.2464	1.2689	1.2912	1.3136	1.3361	1.3587	1.3813	1.4035	1.4246	1.4436	1.4592	1.4699	1.4807	1.4734	1.4549	1.4267	1.3907	1.3482	1.3005	1.2481	1.1916	1.1313	1.0677	1.0014	0.93289	0.86326	0.79364	0.72535	0.65981	0.59854	0.543	0.4914	-0.35511	-0.3821	-0.41786	-0.44497	-0.46452	-0.47725	-0.48358	-0.48375	-0.47778	-0.46555	-0.44684	-0.42138	-0.38892	-0.34932	-0.30266	-0.24934	-0.19017	-0.12642	-0.059735	0.0079933	0.07492	0.14013	0.18329	0.20921	0.22216	0.22571	0.22259	0.2147	0.20326	0.18898	0.17233	0.15363	0.13323	0.11158	0.089274	0.067052	0.045821	0.026621	0.010592	-0.0010873	-0.0072465	-0.67221	-0.60601	-0.52968	-0.44619	-0.35726	-0.26325	-0.16376	-0.058467	0.052104	0.16629	0.28129	0.39351	0.4991	0.59452	0.67706	0.74509	0.79822	0.83705	0.86296	0.87768	0.88304	0.91212	0.91193	0.8869	0.84199	0.78189	0.71083	0.63273	0.55132	0.4701	0.39229	0.32062	0.25721	0.20346	0.16001	0.12682	0.10324	0.088174	0.080235	0.077868	0.18354	-0.059217	-0.060848	-0.063134	-0.066208	-0.070223	-0.075343	-0.081744	-0.089598	-0.099063	-0.11027	-0.1233	-0.13818	-0.15484	-0.17312	-0.19271	-0.21316	-0.23385	-0.25405	-0.27291	-0.28957	-0.30318	-0.32669	-0.34517	-0.35641	-0.35924	-0.35363	-0.34062	-0.32203	-0.29997	-0.27644	-0.25297	-0.23046	-0.20926	-0.18935	-0.17052	-0.15254	-0.13513	-0.11799	-0.10067	-0.082497	0.00042964
2.307	2.6255	2.6852	2.7033	12.683	2.625	2.5316	2.4064	2.2548	2.0835	1.8999	1.711	1.5225	1.3385	1.1616	0.99258	0.83125	0.67627	0.5256	0.37653	0.22545	0.068086	-0.060891	-0.1664	-0.2533	-0.32489	-0.38362	-0.43146	-0.47008	-0.50093	-0.52524	-0.54401	-0.55799	-0.5677	-0.57337	-0.57488	-0.57159	-0.56203	-0.54325	-0.50968	-0.38689	0.24194	0.28391	0.29005	0.28209	0.26062	0.22746	0.18582	0.14017	0.095774	0.057981	0.03148	0.019712	0.024549	0.046296	0.083995	0.13592	0.20011	0.27488	0.35911	0.45233	0.55442	0.67289	0.76585	0.84368	0.90861	0.96186	1.004	1.0353	1.0557	1.0655	1.0645	1.0529	1.0309	0.99862	0.95637	0.90445	0.84337	0.77409	0.6986	0.62087	0.47073	0.7206	0.75835	0.80928	0.84513	0.87192	0.89322	0.91113	0.9269	0.9413	0.95481	0.96776	0.98042	0.99303	1.0058	1.019	1.0327	1.0469	1.0616	1.0763	1.0905	1.1035	1.1194	1.122	1.116	1.1024	1.0824	1.0569	1.0268	0.99255	0.95432	0.91239	0.86699	0.8185	0.76746	0.71458	0.66075	0.60701	0.55449	0.50432	0.45758	0.41251	-0.36125	-0.38901	-0.42597	-0.45443	-0.47547	-0.48986	-0.49806	-0.50029	-0.49661	-0.48691	-0.47098	-0.44853	-0.41927	-0.38295	-0.3395	-0.28908	-0.23216	-0.16959	-0.10255	-0.032414	0.039442	0.11237	0.1643	0.19947	0.22169	0.23418	0.23939	0.23909	0.23445	0.22621	0.2149	0.20091	0.18462	0.16649	0.14705	0.12696	0.10697	0.087902	0.07063	0.055971	0.044308	-0.71822	-0.6497	-0.57029	-0.48354	-0.39162	-0.29511	-0.19358	-0.086548	0.025788	0.14206	0.2597	0.37521	0.48469	0.58443	0.67143	0.74386	0.80106	0.84354	0.8726	0.89002	0.8977	0.93537	0.94152	0.92102	0.87922	0.82104	0.75083	0.67256	0.59	0.50675	0.42613	0.3511	0.28399	0.22646	0.1794	0.14297	0.11667	0.099477	0.090005	0.086664	0.19339	-0.054973	-0.056631	-0.058957	-0.062089	-0.066186	-0.071422	-0.077985	-0.086065	-0.095842	-0.10748	-0.12109	-0.13674	-0.15443	-0.17406	-0.19537	-0.21798	-0.24129	-0.26457	-0.28694	-0.30746	-0.32519	-0.35177	-0.37335	-0.38745	-0.39254	-0.38827	-0.37547	-0.35584	-0.33157	-0.30486	-0.27752	-0.25077	-0.22526	-0.2012	-0.17859	-0.15736	-0.13739	-0.1185	-0.10041	-0.082581	-0.003385
2.1501	2.4795	2.5662	2.6138	2.625	12.6	2.5398	2.4458	2.3218	2.1733	2.0068	1.8291	1.6461	1.463	1.2832	1.1087	0.94003	0.77668	0.61707	0.45869	0.29787	0.13069	-0.0071315	-0.12009	-0.21333	-0.29037	-0.35381	-0.40575	-0.44796	-0.48196	-0.50905	-0.53026	-0.54641	-0.55803	-0.56539	-0.56837	-0.56637	-0.55792	-0.54007	-0.50726	-0.3853	0.2683	0.32341	0.34076	0.34442	0.33457	0.31231	0.27997	0.24115	0.20041	0.16283	0.13327	0.11579	0.11319	0.12683	0.15669	0.20177	0.26055	0.33143	0.41318	0.50499	0.60629	0.72453	0.81665	0.89352	0.95737	1.0094	1.0503	1.0802	1.0993	1.1075	1.105	1.0917	1.0679	1.0338	0.98954	0.93551	0.87221	0.80061	0.72265	0.64233	0.48677	0.56638	0.595	0.63324	0.65908	0.67739	0.69103	0.70172	0.71048	0.71794	0.7245	0.73047	0.73611	0.74168	0.74751	0.75394	0.76133	0.77002	0.78028	0.79227	0.80604	0.82153	0.84218	0.85317	0.85757	0.8559	0.84887	0.83714	0.82116	0.80119	0.77737	0.74978	0.71855	0.68391	0.64624	0.60608	0.56414	0.52126	0.47834	0.43628	0.39587	0.3554	-0.36528	-0.39362	-0.43149	-0.46101	-0.48328	-0.49907	-0.50886	-0.51291	-0.51127	-0.50387	-0.49051	-0.47089	-0.4447	-0.41162	-0.37144	-0.3241	-0.26977	-0.20889	-0.14218	-0.070507	0.0052145	0.084583	0.14411	0.18743	0.21789	0.23829	0.25085	0.2572	0.25846	0.25541	0.24862	0.23852	0.22555	0.21016	0.19287	0.17426	0.15502	0.13582	0.11736	0.10021	0.084184	-0.75404	-0.68403	-0.60264	-0.51386	-0.42024	-0.32257	-0.22047	-0.11326	-0.00085328	0.11573	0.23423	0.35134	0.4632	0.56598	0.65648	0.73256	0.79336	0.83918	0.87124	0.89133	0.90141	0.94897	0.9627	0.94803	0.91072	0.85596	0.78817	0.71133	0.62915	0.54522	0.46294	0.38539	0.31513	0.25409	0.20342	0.16353	0.13413	0.11433	0.10281	0.097978	0.202	-0.050399	-0.052076	-0.054429	-0.057599	-0.061753	-0.067071	-0.073751	-0.081998	-0.092011	-0.10397	-0.11804	-0.13432	-0.15285	-0.17358	-0.19633	-0.22075	-0.24629	-0.27221	-0.29759	-0.32143	-0.34268	-0.37192	-0.39627	-0.41297	-0.4202	-0.41735	-0.405	-0.3848	-0.35895	-0.32984	-0.2995	-0.26942	-0.24049	-0.21313	-0.18749	-0.16362	-0.14155	-0.12121	-0.10239	-0.084704	-0.0077653
1.9812	2.3112	2.4183	2.491	2.5316	2.5398	12.514	2.4554	2.3643	2.2448	2.1019	1.9416	1.7699	1.5924	1.4134	1.236	1.0617	0.89095	0.72275	0.55499	0.38407	0.2066	0.05929	-0.061724	-0.16187	-0.24487	-0.31351	-0.37001	-0.41623	-0.45379	-0.48404	-0.50808	-0.52675	-0.54063	-0.55	-0.55479	-0.55441	-0.54741	-0.53088	-0.49933	-0.37958	0.28605	0.35243	0.38081	0.39688	0.40044	0.39182	0.37226	0.34419	0.3111	0.27738	0.2477	0.2265	0.2174	0.22283	0.2439	0.28061	0.33209	0.39712	0.47449	0.56315	0.66204	0.77846	0.86846	0.94336	1.0053	1.0554	1.0944	1.1224	1.1397	1.1461	1.1417	1.1267	1.1011	1.0651	1.019	0.96304	0.89778	0.82414	0.74406	0.66145	0.50101	0.44121	0.46249	0.49059	0.50852	0.52019	0.52792	0.53309	0.53655	0.53881	0.54022	0.54105	0.54157	0.54206	0.54289	0.5445	0.54741	0.55218	0.55942	0.5697	0.58355	0.60143	0.62636	0.64443	0.65746	0.66558	0.66915	0.66853	0.66396	0.65553	0.64326	0.62713	0.60714	0.58342	0.55622	0.52593	0.49313	0.45849	0.42277	0.38672	0.35093	0.31372	-0.36784	-0.39659	-0.43516	-0.46551	-0.48878	-0.50575	-0.51691	-0.52254	-0.52271	-0.51737	-0.50633	-0.4893	-0.46595	-0.43591	-0.39885	-0.35453	-0.30284	-0.24386	-0.17786	-0.10524	-0.026484	0.058233	0.12427	0.17469	0.21235	0.2397	0.25871	0.27086	0.27727	0.27871	0.27579	0.269	0.25878	0.24561	0.22998	0.21246	0.19367	0.1742	0.15464	0.13539	0.11582	-0.77961	-0.70956	-0.62788	-0.5388	-0.44516	-0.34794	-0.24683	-0.14103	-0.030199	0.085015	0.20271	0.31985	0.43269	0.53737	0.63048	0.70964	0.77367	0.82267	0.85772	0.88055	0.89316	0.95194	0.9745	0.96689	0.93539	0.88546	0.82163	0.7478	0.66757	0.58445	0.50181	0.42281	0.35019	0.2861	0.23201	0.18859	0.15582	0.13299	0.11893	0.11209	0.20912	-0.045846	-0.047534	-0.049904	-0.0531	-0.057292	-0.062667	-0.069431	-0.077801	-0.087992	-0.10021	-0.11463	-0.1314	-0.15061	-0.17224	-0.19617	-0.22209	-0.24947	-0.27757	-0.30544	-0.33201	-0.35615	-0.38753	-0.41415	-0.43303	-0.44211	-0.44053	-0.4287	-0.40815	-0.38115	-0.35019	-0.31751	-0.28483	-0.25323	-0.2233	-0.19531	-0.16944	-0.14577	-0.12433	-0.10501	-0.087472	-0.012202
1.8034	2.1255	2.2468	2.3397	2.4064	2.4458	2.4554	12.433	2.3788	2.2932	2.1798	2.0433	1.889	1.7227	1.5491	1.3724	1.1951	1.0186	0.84266	0.66582	0.48461	0.29646	0.13897	0.0092045	-0.098507	-0.1881	-0.26251	-0.3241	-0.37485	-0.41645	-0.45032	-0.47762	-0.49923	-0.51575	-0.52752	-0.53448	-0.53607	-0.5309	-0.51611	-0.4863	-0.37006	0.29337	0.36834	0.40679	0.43514	0.45288	0.4596	0.45544	0.44143	0.41977	0.39377	0.36753	0.34551	0.33189	0.33008	0.34239	0.36991	0.41276	0.4703	0.54156	0.62537	0.72025	0.83329	0.91999	0.992	1.0512	1.0989	1.1354	1.1613	1.1764	1.1808	1.1745	1.1576	1.1302	1.0925	1.0447	0.98703	0.92007	0.84471	0.76283	0.67826	0.51345	0.33859	0.35395	0.37387	0.3855	0.39194	0.39507	0.39601	0.39543	0.39378	0.39136	0.38841	0.3852	0.38202	0.37927	0.37745	0.37719	0.37924	0.38445	0.39372	0.40797	0.42807	0.45674	0.48072	0.50087	0.51701	0.52924	0.53768	0.54239	0.54333	0.54042	0.53353	0.52259	0.5076	0.48871	0.4662	0.44052	0.41225	0.38203	0.35048	0.31809	0.28319	-0.36934	-0.39839	-0.43746	-0.46847	-0.49256	-0.5105	-0.52282	-0.5298	-0.53155	-0.528	-0.51901	-0.50427	-0.48345	-0.45614	-0.42192	-0.38038	-0.33118	-0.27407	-0.20893	-0.13576	-0.054653	0.03442	0.10591	0.16234	0.20615	0.23947	0.26403	0.28121	0.29206	0.2974	0.29784	0.29389	0.28602	0.2747	0.26043	0.24375	0.22525	0.20548	0.18493	0.1639	0.14142	-0.79511	-0.72668	-0.64658	-0.55911	-0.46725	-0.37216	-0.2736	-0.17076	-0.063046	0.049223	0.16454	0.2802	0.39268	0.49812	0.593	0.67465	0.74162	0.79369	0.83175	0.85745	0.87276	0.94403	0.97653	0.97705	0.95246	0.90858	0.85003	0.78063	0.70384	0.623	0.54138	0.46214	0.38812	0.32168	0.26455	0.21773	0.18147	0.15533	0.13831	0.12898	0.21462	-0.041534	-0.043228	-0.045608	-0.04882	-0.053036	-0.05845	-0.065273	-0.073732	-0.084055	-0.096464	-0.11116	-0.12832	-0.14806	-0.17041	-0.19527	-0.22237	-0.2512	-0.28103	-0.31086	-0.33956	-0.36595	-0.39888	-0.42718	-0.44772	-0.45824	-0.45767	-0.44628	-0.42551	-0.39763	-0.36524	-0.33076	-0.29608	-0.26245	-0.2306	-0.20091	-0.17362	-0.14888	-0.12677	-0.10722	-0.089957	-0.016327
1.6214	1.9289	2.0587	2.1666	2.2548	2.3218	2.3643	2.3788	12.362	2.3141	2.2349	2.1278	1.9971	1.8479	1.6852	1.5138	1.3371	1.1573	0.97541	0.79036	0.59913	0.40019	0.23199	0.092813	-0.023143	-0.11998	-0.20078	-0.26805	-0.32387	-0.37002	-0.408	-0.43901	-0.46399	-0.48359	-0.49815	-0.50766	-0.51161	-0.50866	-0.49602	-0.46845	-0.35695	0.2905	0.37114	0.41809	0.4577	0.48927	0.51178	0.52433	0.52663	0.51941	0.50466	0.48558	0.46622	0.45098	0.44398	0.44859	0.46711	0.50072	0.54964	0.61336	0.6908	0.78012	0.88821	0.97042	1.0386	1.0946	1.1392	1.173	1.1962	1.209	1.2113	1.203	1.1843	1.1552	1.1159	1.0666	1.0075	0.93912	0.86235	0.779	0.69277	0.52411	0.25385	0.26438	0.27766	0.28424	0.28656	0.2861	0.28378	0.28013	0.27554	0.27027	0.26454	0.25861	0.2528	0.2475	0.24329	0.24085	0.24108	0.24501	0.25378	0.26864	0.29079	0.32271	0.35158	0.37757	0.40027	0.41954	0.43534	0.44759	0.45616	0.46085	0.46148	0.45786	0.44992	0.4377	0.42139	0.40134	0.37806	0.35208	0.32398	0.29411	0.26084	-0.37005	-0.39931	-0.43875	-0.47026	-0.49498	-0.51371	-0.52699	-0.5351	-0.53817	-0.53616	-0.52892	-0.51616	-0.49752	-0.47257	-0.44081	-0.4017	-0.35471	-0.29931	-0.23506	-0.16162	-0.078736	0.013773	0.089679	0.15104	0.19995	0.23825	0.26749	0.28894	0.30361	0.31231	0.31566	0.31418	0.30835	0.29863	0.28552	0.26956	0.25128	0.23124	0.20985	0.18733	0.16243	-0.8012	-0.73591	-0.65913	-0.57503	-0.48661	-0.39519	-0.30065	-0.20215	-0.098952	0.0089363	0.12041	0.23317	0.34395	0.44902	0.54477	0.62831	0.69785	0.75286	0.79396	0.82262	0.84078	0.92564	0.96904	0.97854	0.9617	0.92476	0.87248	0.80865	0.73656	0.65933	0.58007	0.50184	0.4275	0.35957	0.3	0.2501	0.21043	0.18084	0.16057	0.14837	0.21852	-0.037574	-0.039271	-0.041656	-0.044876	-0.049107	-0.054544	-0.061407	-0.069928	-0.080345	-0.092897	-0.1078	-0.12526	-0.1454	-0.16829	-0.19385	-0.22185	-0.25177	-0.28287	-0.31414	-0.34441	-0.37241	-0.40629	-0.43566	-0.45731	-0.46882	-0.46896	-0.45787	-0.43691	-0.40835	-0.37488	-0.33904	-0.30287	-0.26777	-0.23457	-0.20375	-0.17557	-0.15025	-0.12787	-0.10839	-0.091578	-0.019903
1.4404	1.7286	1.8616	1.9791	2.0835	2.1733	2.2448	2.2932	2.3141	12.304	2.2622	2.189	2.0873	1.9611	1.8153	1.6545	1.4829	1.3036	1.1182	0.92668	0.72635	0.51709	0.33793	0.18886	0.064063	-0.040638	-0.12845	-0.20197	-0.26341	-0.31463	-0.35721	-0.39241	-0.4212	-0.44429	-0.46205	-0.47451	-0.4812	-0.48085	-0.47079	-0.44593	-0.34037	0.27919	0.3627	0.41626	0.46542	0.50943	0.54689	0.57607	0.59552	0.60458	0.60382	0.59526	0.58219	0.56879	0.55953	0.55858	0.5693	0.594	0.63387	0.68911	0.75891	0.84124	0.94281	1.0193	1.0829	1.1348	1.1759	1.2066	1.2271	1.2374	1.2374	1.2272	1.2067	1.1761	1.1353	1.0847	1.0244	0.95497	0.87712	0.79262	0.70504	0.53305	0.18345	0.19002	0.1979	0.20041	0.19945	0.1962	0.19136	0.1854	0.1786	0.17122	0.16347	0.15559	0.1479	0.14085	0.135	0.13114	0.13023	0.13344	0.14214	0.15776	0.18179	0.2165	0.24943	0.28016	0.30816	0.33313	0.35489	0.37325	0.388	0.39888	0.40561	0.40794	0.40572	0.39888	0.38756	0.37202	0.35269	0.33005	0.3046	0.27664	0.24451	-0.37017	-0.39955	-0.43924	-0.4711	-0.4963	-0.51565	-0.52968	-0.53871	-0.54287	-0.54213	-0.53634	-0.52523	-0.50843	-0.48546	-0.45576	-0.4187	-0.37358	-0.31967	-0.25628	-0.18276	-0.098613	-0.0035161	0.075818	0.14108	0.19408	0.23643	0.26953	0.29454	0.31244	0.32402	0.32989	0.33057	0.32654	0.31824	0.30618	0.29086	0.27283	0.25258	0.23051	0.20675	0.17986	-0.79893	-0.73799	-0.66588	-0.58655	-0.50295	-0.41647	-0.32714	-0.23415	-0.13667	-0.034403	0.071927	0.18044	0.28824	0.39177	0.48744	0.57215	0.6438	0.70152	0.7456	0.77728	0.79836	0.89776	0.95281	0.97191	0.96336	0.9339	0.88855	0.83108	0.76464	0.69212	0.61639	0.54035	0.46681	0.39835	0.33711	0.28464	0.24182	0.20883	0.18517	0.16983	0.22101	-0.033998	-0.035697	-0.038082	-0.041305	-0.045542	-0.050992	-0.057877	-0.066437	-0.076918	-0.089566	-0.10462	-0.12228	-0.14271	-0.16599	-0.19205	-0.22067	-0.25134	-0.28331	-0.31555	-0.34684	-0.37589	-0.41017	-0.44005	-0.46228	-0.47434	-0.4749	-0.46395	-0.44281	-0.41373	-0.37944	-0.3426	-0.30538	-0.26928	-0.23522	-0.20375	-0.17516	-0.14966	-0.12737	-0.10823	-0.092024	-0.022795
