0 2.526364995806411
1 1.971613567953918
2 1.0088212872332736
3 0.551855399157507
4 0.30650336618455204
5 0.18777964599532845
6 0.1382963263686353
7 0.11393231281669836
8 0.09859568686417425
9 0.08654252771462967
10 0.07624071771589427
11 0.06720370571519962
12 0.05924810641021627
13 0.05226176506112233
14 0.04614677618875733
15 0.040807922086261016
16 0.03615210083956326
17 0.032091185035039
18 0.028544425603942058
19 0.025439997349797086
20 0.022715325221673133
21 0.020315436170926945
22 0.018198524893376696
23 0.016323244614497252
24 0.014657794382191535
