0 0 0
1 2 8
2 1 0
3 2 1
4 1 1
5 2 2
6 3 2
7 2 2
8 3 3
9 1 3
10 1 1
11 2 3
12 2 3
13 1 1
14 0 3
15 3 5
16 1 1
17 2 1
18 1 3
19 1 3
20 3 3
21 1 3
22 15 16
23 12 12
24 9 9
25 7 11
26 12 14
27 9 7
28 7 13
29 7 6
30 3 5
31 10 11
32 9 10
33 5 6
34 4 4
35 5 11
36 1 5
37 1 3
38 2 3
39 9 12
40 8 11
41 6 8
42 5 3
43 2 3
44 2 4
45 1 2
46 2 3
47 2 5
48 0 3
49 0 3
50 8 11
51 7 9
52 8 7
53 8 11
54 8 10
55 7 9
56 7 8
57 5 10
58 9 10
59 7 10
60 6 9
61 5 7
62 4 5
63 17 14
64 15 12
65 11 11
66 8 16
67 11 14
68 10 10
69 14 17
70 17 16
71 17 20
72 20 18
73 19 19
74 18 17
75 16 17
76 15 17
77 14 17
78 15 18
79 17 18
80 15 17
81 14 13
82 12 14
83 15 16
84 12 11
85 9 12
86 8 10
87 6 13
88 13 13
89 11 13
90 13 15
91 11 11
92 9 14
93 14 15
94 12 14
95 10 13
96 10 13
97 9 10
98 8 10
99 8 10
100 8 11
101 9 11
