Time,Ca[*],Cb[*],Fa0[*],dCadt[*],dCbdt[*]
0,0,0,,,
1,0.4294930331471315,0.19403203332546107,16.56219341432462,0.4294930331471315,0.19403203332546107
2,0.48950944201082014,0.34451434072139064,12.682462567513257,0.06001640886368864,0.1504823073959296
3,0.4984287236477075,0.4264778921810267,12.102641810528429,0.008919281636887405,0.08196355145963606
4,0.4997655310517394,0.46612510438579347,12.015474382039965,0.0013368074040319092,0.039647212204766705
5,0.49996549961915654,0.48453189492388404,12.002343191385867,0.0001999685674171465,0.018406790538090582
6,0.4999951137143562,0.4929583620234039,12.00035773669708,2.961409519962099e-05,0.008426467099519837
7,0.49999937059230404,0.49679767183055934,12.000054925920406,4.2568779478363125e-06,0.0038393098071554804
8,0.4999999489611424,0.4985441618344357,12.000009117510672,5.783688383443313e-07,0.0017464900038763444
9,0.5000000798217199,0.499338152552066,12.000006448655139,1.3086057754031758e-07,0.0007939907176303029
10,0.500000207106508,0.49969898959776166,12.00001248681332,1.272847881637107e-07,0.0003608370456956741
11,0.5000003111610365,0.49986296017393556,12.000017016830911,1.0405452847120503e-07,0.00016397057617387436
12,0.500000372680437,0.4999374779803793,12.000019119063234,6.151940050822623e-08,7.451780644368876e-05
13,0.5000004040481454,0.49997134627793505,12.000020021681323,3.136770848655722e-08,3.386829755577827e-05
14,0.5000004191101951,0.4999867401408502,12.00002041854747,1.506204965647547e-08,1.5393862915108177e-05
15,0.5000004260751363,0.4999937372262562,12.000020590922912,6.964941248644071e-09,6.997085405973629e-06
16,0.5000004292662557,0.49999691769141513,12.000020668620406,3.191119372474097e-09,3.1804651589443167e-06
17,0.5000004307220468,0.49999836335075665,12.000020703791904,1.455791205426965e-09,1.4456593415205896e-06
18,0.5000004313848677,0.49999902046692274,12.000020719747944,6.628209156681753e-10,6.57116166105855e-07
19,0.5000004313848677,0.49999902046692274,12.000020726994157,6.628209156681753e-10,6.57116166105855e-07
20,0.5000004313848677,0.49999902046692274,12.000020726994133,6.628209156681753e-10,6.57116166105855e-07
21,0.5000004313848677,0.49999902046692274,12.000020726994165,6.628209156681753e-10,6.57116166105855e-07
22,0.5000004313848677,0.49999902046692274,12.000020726994162,6.628209156681753e-10,6.57116166105855e-07
23,0.5000004313848677,0.49999902046692274,12.000020726994123,6.628209156681753e-10,6.57116166105855e-07
24,0.5000004313848677,0.49999902046692274,12.00002072699415,6.628209156681753e-10,6.57116166105855e-07
25,0.5000004313848677,0.49999902046692274,12.00002072699417,6.628209156681753e-10,6.57116166105855e-07
26,0.5000004313848677,0.49999902046692274,12.000020726994153,6.628209156681753e-10,6.57116166105855e-07
27,0.5000004313848677,0.49999902046692274,12.00002072699414,6.628209156681753e-10,6.57116166105855e-07
28,0.5000004313848677,0.49999902046692274,12.00002072699414,6.628209156681753e-10,6.57116166105855e-07
29,0.5000004313848677,0.49999902046692274,12.00002072699414,6.628209156681753e-10,6.57116166105855e-07
30,0.5000004313848677,0.49999902046692274,12.000020726994153,6.628209156681753e-10,6.57116166105855e-07
31,0.5000004313848677,0.49999902046692274,12.000020726994139,6.628209156681753e-10,6.57116166105855e-07
32,0.5000004313848677,0.49999902046692274,12.00002072699416,6.628209156681753e-10,6.57116166105855e-07
33,0.5000004313848677,0.49999902046692274,12.000020726994169,6.628209156681753e-10,6.57116166105855e-07
34,0.5000004313848677,0.49999902046692274,12.000020726994158,6.628209156681753e-10,6.57116166105855e-07
35,0.5000004313848677,0.49999902046692274,12.000020726994133,6.628209156681753e-10,6.57116166105855e-07
