Time,Ca[*],Cb[*],Fa0[*],dCadt[*],dCbdt[*]
69,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
70,0.5000000170498948,0.4999994347552714,12.000000818420938,8.424971986884075e-13,6.578330028689232e-07
71,0.5000000170498948,0.4999994347552714,12.000000818420933,8.424971986884075e-13,6.578330028689232e-07
72,0.5000000170498948,0.4999994347552714,12.000000818420933,8.424971986884075e-13,6.578330028689232e-07
73,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
74,0.5000000170498948,0.4999994347552714,12.000000818420942,8.424971986884075e-13,6.578330028689232e-07
75,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
76,0.5000000170498948,0.4999994347552714,12.000000818420936,8.424971986884075e-13,6.578330028689232e-07
77,0.5000000170498948,0.4999994347552714,12.000000818420938,8.424971986884075e-13,6.578330028689232e-07
78,0.5000000170498948,0.4999994347552714,12.000000818420943,8.424971986884075e-13,6.578330028689232e-07
79,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
80,0.5000000170498948,0.4999994347552714,12.000000818420938,8.424971986884075e-13,6.578330028689232e-07
81,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
82,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
83,0.5000000170498948,0.4999994347552714,12.000000818420942,8.424971986884075e-13,6.578330028689232e-07
84,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
85,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
86,0.5000000170498948,0.4999994347552714,12.000000818420936,8.424971986884075e-13,6.578330028689232e-07
87,0.5000000170498948,0.4999994347552714,12.000000818420938,8.424971986884075e-13,6.578330028689232e-07
88,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
89,0.5000000170498948,0.4999994347552714,12.000000818420942,8.424971986884075e-13,6.578330028689232e-07
90,0.5000000170498948,0.4999994347552714,12.000000818420938,8.424971986884075e-13,6.578330028689232e-07
91,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
92,0.5000000170498948,0.4999994347552714,12.000000818420942,8.424971986884075e-13,6.578330028689232e-07
93,0.5000000170498948,0.4999994347552714,12.000000818420936,8.424971986884075e-13,6.578330028689232e-07
94,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
95,0.5000000170498948,0.4999994347552714,12.000000818420936,8.424971986884075e-13,6.578330028689232e-07
96,0.5000000170498948,0.4999994347552714,12.000000818420938,8.424971986884075e-13,6.578330028689232e-07
97,0.5000000170498948,0.4999994347552714,12.000000818420933,8.424971986884075e-13,6.578330028689232e-07
98,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
99,0.5000000170498948,0.4999994347552714,12.000000818420942,8.424971986884075e-13,6.578330028689232e-07
100,0.5000000170498948,0.4999994347552714,12.000000818420938,8.424971986884075e-13,6.578330028689232e-07
